{'reviewerId': 'gjhzKWsqCIrpEd9pevbKZw', 'rank': 0.0001}
{'reviewerId': 'XHuNSjrPA3Vyi7n4iVhZaQ', 'rank': 0.0032}
{'reviewerId': 'nzsv-p1O8gCfP3XijfQrIw', 'rank': 0.0044}
{'reviewerId': 'qD51vvp5Zf5DgPEGy7yfDQ', 'rank': 0.0046}
{'reviewerId': 'GpgBEengSGt1SDH67ATF8Q', 'rank': 0.0049}
{'reviewerId': 'IDVX4Is4CanREchBmpFXoA', 'rank': 0.0051}
{'reviewerId': 'nkN_do3fJ9xekchVC-v68A', 'rank': 0.0055}
{'reviewerId': 'eCcjxh8zjAqn-kZVWZ_HJQ', 'rank': 0.0057}
{'reviewerId': 'Mu6wz7_d6OBgRqkl4_NaXw', 'rank': 0.0057}
{'reviewerId': 'PjWbZe8ZpO1_sugOACJ7qw', 'rank': 0.0058}
{'reviewerId': 'T2_riS8Tzcriq2g8y4h3fQ', 'rank': 0.006}
{'reviewerId': 'Ky4V1XBSDHBXHpBReoKmFw', 'rank': 0.006}
{'reviewerId': '_BHTC7nyCBoZcfiiD5cOXg', 'rank': 0.006}
{'reviewerId': 'quQ657_JzIKLeIYFeA-mwQ', 'rank': 0.0062}
{'reviewerId': '0zUIztV3NVYnzE694rFfig', 'rank': 0.0062}
{'reviewerId': 'dXsE1u5XrToL3VN3iC7S_g', 'rank': 0.0062}
{'reviewerId': 'ckQyi6cnOyLE1LWrfn-qww', 'rank': 0.0063}
{'reviewerId': 'vVda7c6O4AFKaOQo7h7exw', 'rank': 0.0065}
{'reviewerId': 'qtE59RKEer5zTr-i7mSGtA', 'rank': 0.0065}
{'reviewerId': 'Do_gJc16NsmLGSk5BuxxmQ', 'rank': 0.0065}
{'reviewerId': 'hpYmAHWl2aWZRoNkUsUmhA', 'rank': 0.0065}
{'reviewerId': '58KqAADM76N-9OyHVIDi-Q', 'rank': 0.0065}
{'reviewerId': 'EStLhmCNrZgxPKn-4xYOPQ', 'rank': 0.0065}
{'reviewerId': 'Ha8k7alWhjoUlP1hRQnmcw', 'rank': 0.0065}
{'reviewerId': '0STk5pBztm3SobREne5XeA', 'rank': 0.0065}
{'reviewerId': 'PY-W3H1EHl80-ocRe9G9Og', 'rank': 0.0065}
{'reviewerId': '_vN1zUgCxvfVFabQJw5JvA', 'rank': 0.0065}
{'reviewerId': 'lXKjU1d7uy4aG0c5dNTATw', 'rank': 0.0065}
{'reviewerId': 'Raz8cdTLTz3OCzVN7uZ8tA', 'rank': 0.0065}
{'reviewerId': 'cJR8oVePZ1L8Z0JdI5SHIA', 'rank': 0.0065}
{'reviewerId': 'fVZZ5i-hwA0KpCrsSJwtaA', 'rank': 0.0065}
{'reviewerId': 'H42JuS0bQLf_G0iXeNUpwg', 'rank': 0.0065}
{'reviewerId': 'GGCHD6b1IcENHQ-pXLFYVw', 'rank': 0.0065}
{'reviewerId': 'UE-rXhA8njNnADFkDA3EuA', 'rank': 0.0065}
{'reviewerId': 'AVQ8pWpnJ8jTSOXYJ6-2AQ', 'rank': 0.0065}
{'reviewerId': '8uEu5pQNnd2JiDt6YOElXA', 'rank': 0.0066}
{'reviewerId': 'Xj0O2l0bp633ebmG468aZw', 'rank': 0.0067}
{'reviewerId': 'mpqVU-Rkpp3DAIxn8Hv4pA', 'rank': 0.0067}
{'reviewerId': 'iUU3lmGmUiqAlmTWQYWoKw', 'rank': 0.0068}
{'reviewerId': 'BP-PhtILS68hOkjQGcUKqg', 'rank': 0.0068}
{'reviewerId': 'zxF7vwh32ccSN3CbCMlalw', 'rank': 0.0068}
{'reviewerId': 'e4-Pz1Kow9Wk6XXIvYFzLQ', 'rank': 0.0069}
